NumOnd,Nps,Npp,gamma,i,nbinsta,f1,f2,f3
0.0,9.0,6.0,-17.12805780672886,26.451448319422756,48.0,0.12838026754656515,0.1467737383503155,9.36677801955747
0.0,10.0,5.0,-16.38546856695501,29.297090348112597,42.0,0.1292959288832375,0.14330385804493492,8.577440701436565
0.0,9.0,6.0,-10.974384272838616,24.42408798091875,48.0,0.12843930008226917,0.14672473194771596,9.380224252606556
0.0,9.0,6.0,-18.686169692541206,28.29789971826444,50.0,0.12822034949891736,0.1477506559689056,9.531429613453051
0.0,6.0,8.0,-16.408759519797147,31.21669157418441,42.0,0.12950518764295577,0.14287348143723175,8.444405725699328
0.0,9.0,6.0,-15.65143091455882,29.897567595518996,49.0,0.12824193854934016,0.1472421608701874,9.436837338182267
0.0,9.0,6.0,-3.8622526434790334,28.86657969332149,47.0,0.12846682633730544,0.14625022050383113,9.283024435510685
0.0,11.0,4.0,-15.615634350562864,29.997237320543068,40.0,0.13069498450677094,0.14197123553011262,8.113966115968694
0.0,10.0,5.0,-15.578997912095591,28.71398986964693,45.0,0.1288398475859368,0.1442172210694586,8.806530174891584
0.0,9.0,4.0,-13.957936753903656,31.719478093228776,44.0,0.13197055576480696,0.14180201260123246,8.026126582240774
0.0,10.0,5.0,-13.93315897465451,28.481094355545917,47.0,0.1285746335602515,0.1448877535513395,8.957825152009343
0.0,9.0,5.0,-8.568268346757026,29.69106543893867,45.0,0.12945083868582036,0.1429437335070152,8.47802117218924
0.0,11.0,4.0,-19.30941294967466,27.384955707915076,48.0,0.12920617564808284,0.14348047339180686,8.633234964802245
0.0,7.0,7.0,1.4428395650013828,29.51738080902115,45.0,0.12918060533809403,0.1440863863325589,8.794644696145898
0.0,7.0,7.0,-12.996811364933395,30.09979315270345,41.0,0.1295772085917123,0.14281274780996012,8.436962509456837
0.0,9.0,5.0,-13.705765295375645,34.909069802690766,43.0,0.12977820985611477,0.1425499980902667,8.336501644337428
0.0,7.0,7.0,-12.900912708154017,29.264349137109928,42.0,0.1294065001377309,0.1430643533181842,8.513045766410984
