NumOnd,Nps,Npp,gamma,i,nbinsta,f1,f2,f3
2.0,18.0,20.0,-8.00537821652547,30.278883734386557,7.0,0.12646635624666222,0.14642677749733257,8.635087836536043
2.0,18.0,22.0,-6.9253870787286615,28.938121120889793,7.0,0.12585495843794042,0.1484631457465013,8.958624102998545
2.0,18.0,22.0,-6.613162674449175,29.812157552022413,6.0,0.1268223443919587,0.14521978166623364,8.409184639175477
2.0,18.0,22.0,-6.861206624284632,29.52203101742643,6.0,0.12682479125438567,0.14521698982960632,8.409692829594402
2.0,18.0,23.0,-7.955000475342638,31.09982544415297,7.0,0.1256385172436731,0.149683443052871,9.125665655797428
2.0,18.0,22.0,-8.083573135972403,31.091566204998866,7.0,0.12585111174911665,0.14854169478938528,8.957846070612822
2.0,18.0,25.0,-7.539269134069023,28.67252157913057,4.0,0.12947651237555094,0.14215367176101643,7.650798722967572
2.0,18.0,21.0,-5.662176689891189,27.29415963968619,7.0,0.12617861726463733,0.14736216668687913,8.804970909753383
2.0,18.0,23.0,-9.385473773225273,31.07162720221386,5.0,0.12791524113580083,0.14323934136561844,7.974748987767035
2.0,18.0,23.0,-4.828934341876677,27.81073951982208,6.0,0.12658434718382858,0.14598363602592082,8.567716674385874
2.0,18.0,24.0,-11.604714741238658,29.423375492372074,6.0,0.12631027099944248,0.1468998235612689,8.711438246974119
2.0,18.0,21.0,-13.688994306362115,32.08695364627539,5.0,0.12874161814625656,0.14244712467544904,7.73938910504834
2.0,18.0,23.0,-11.13545410844911,31.201452291275324,6.0,0.12649192212725371,0.1460718866495635,8.548667708965153
2.0,18.0,23.0,-9.585701831436708,29.004377670084303,7.0,0.1256542280300463,0.1496384135615359,9.12882653529006
2.0,18.0,18.0,-24.29185226098519,27.246982375754094,5.0,0.13087748954107759,0.14208749458124417,7.53999224070266
2.0,18.0,24.0,-7.388675281190718,30.69497379428332,5.0,0.12762487542232767,0.14374710496455373,8.10883159791442
2.0,18.0,20.0,-6.932720820973454,31.093332671721615,6.0,0.12761439259720608,0.14386100412349465,8.134337482981982
2.0,18.0,22.0,-7.572862610875942,30.49047167042553,5.0,0.12835927687975407,0.1428349750931286,7.867189156604513
2.0,18.0,20.0,-11.345470904560027,31.465505798657997,5.0,0.12931227350778185,0.1421772287315903,7.646220562744745
2.0,18.0,23.0,-3.3604127975020166,25.867247867769112,7.0,0.1257916689999215,0.14956386659123116,9.156573170076767
2.0,18.0,24.0,-7.179663998306401,29.602620401444128,5.0,0.1276276808366066,0.14373127250185525,8.109428765800104
